Timestamp,Sleep,Wake,Sleep Quality,Waking Energy,Work,Focused Learning,Skill practicing,Physical Endeavors,Scrolling,jorking,Passive media ,Active Media,Dominant Emotion ,Dominant Emotion intensity,System Architecture,MISC,Enhancers,NIC,CAF,ALC,L-TY,WE
6/30/2025,2:00:00 AM,6:00:00 AM,6,9,5,120,60,0,33,1,60,180,0,6,20,"Pain in left knee from run on sunday biggest ""concern"" ",NIC,3,0,0,0,0
7/1/2025,12:00:00 AM,6:00:00 AM,4,10,5,0,10,90,30,2,53,15,4,8,40,Work up goal oriented when I got sleepy took shower but idled while nasal rinse. But then unexpected turn with regards to model for AC,CAF,0,100,0,0,0
7/2/2025,12:00:00 AM,6:00:00 AM,6,8,5,0,0,100,40,2,90,75,2,8,30,Had a slight discussion with superviser but i sensed the limit to which i could rebuttal without hard feelings. Smooth it over later by asking for advice and working hard.,CAF,0,100,0,0,0
7/3/2025,5:00:00 AM,7:45:00 AM,2,4,0,60,0,0,0,2,90,180,0,10,10,Had to catch a flight lost track of time reason for late night and early morning. ,None,0,0,0,0,0
7/4/2025,3:00:00 AM,11:30:00 AM,3,4,0,30,0,30,30,1,40,260,2,8,20,Had a headache ,None,0,0,0,0,0
7/5/2025,3:00:00 AM,11:30:00 AM,2,3,0,180,0,120,40,3,120,90,3,4,40,Helped dad implement app idea and got guitar ,"NIC, CAF",3,100,0,0,0
7/6/2025,3:00:00 AM,10:30:00 AM,3,7,0,120,50,90,30,1,5,360,3,4,10,Went to church ,NIC,3,0,0,0,0
7/7/2025,3:00:00 AM,12:00:00 AM,3,3,0,0,10,0,60,1,60,60,3,6,0,asked for extension vacation ,None,0,0,0,0,0
7/8/2025,2:00:00 AM,11:00:00 AM,3,2,0,0,20,30,60,2,120,120,3,8,0,Went to the beach ,None,0,0,0,0,0
7/9/2025,6:00:00 AM,1:30:00 PM,2,2,0,40,30,0,30,5,240,45,-4,8,20," ""Gooned for 3 hours, man pulled up, ran home.""","ALC, NIC",6,0,8,0,0
7/11/2025,5:00:00 AM,1:30:00 PM,3,2,0,0,30,0,40,4,120,10,0,8,0,aftermath of the day was just chilling with parents guitar eating playing pool ,NIC,0,0,0,0,0
7/12/2025,6:00:00 AM,12:00:00 PM,2,3,0,30,45,0,60,4,180,84,3,6,15,Had a conversation about moral obligation becoming manipulation with dad. Danced with mom. Had Lucid dreams,"ALC, NIC",0,0,9,0,0
7/13/2025,5:00:00 AM,10:30:00 AM,3,7,0,0,0,0,30,2,180,270,3,6,0,last day with family before returning to dorm,"NIC, CAF",0,100,0,0,0
7/14/2025,3:00:00 AM,1:40:00 PM,2,6,0,50,0,0,40,2,160,53,-5,8,60,Had a slight existential crisis when thinking about career future but collected my thoughts via AI and have devised new plan forward ,None,0,0,0,0,0
7/15/2025,12:30:00 AM,6:00:00 AM,4,7,3,90,90,0,40,1,115,60,3,8,20,Good interactions with coworkers despite halitosis good feedback. Started on track for resume building. ,CAF,0,100,0,0,0
7/16/2025,12:00:00 AM,6:00:00 AM,8,4,2,0,10,0,30,3,80,60,3,6,87,Low sleep led to sleep after work. Ended up doing system architecture. Hypothesis: Low energy days may be high level synthesis prone.,CAF,0,100,0,0,0
7/17/2025,12:30:00 AM,6:00:00 AM,4,6,1,70,30,60,20,2,60,50,3,2,50,Almost perfect day no down time each block of time was spent on working on an optimal choice. ,CAF,0,100,0,0,0
7/18/2025,12:00:00 AM,6:00:00 AM,2,3,2,180,40,0,20,1,190,70,5,8,45,Achieved a gold standard session of 3 hours. Reached lull from sleep deprivation but used nic pouch and goal setting to revamp energy.,"NIC, CAF",6,100,0,0,0
7/19/2025,2:00:00 AM,9:30:00 AM,2,1,0,40,200,0,30,1,200,23,3,4,160,Chill day worked on creative and organizational ,None,0,0,0,0,0
7/20/2025,2:20:00 AM,12:30:00 AM,3,1,0,0,120,0,60,1,150,40,1,2,120,Rest day recovering for week did some planning and a little drawing.,None,0,0,0,0,0
7/21/2025,3:00:00 AM,8:00:00 AM,2,4,0,60,15,0,60,2,100,0,-2,6,120,"Went to ENT and got told I need to see dentist, issue still at large. Had to accept fault and readapt strategy.",NIC,3,0,0,0,0
7/22/2025,11:30:00 AM,6:00:00 AM,10,4,2,30,20,0,60,2,80,90,3,6,90,Got good feedback from briefing page at dentist and have updated the case to include the findings. ,CAF,0,200,0,0,0
7/23/2025,11:30:00 AM,6:00:00 AM,3,7,2,120,30,0,60,1,170,120,-1,3,120,Hypothesis: Cognitive stimulation that is challenging invites reenergizing despite lack of stimulants and low sleep time (6 hours). Case: No stimulants today felt quite fatigued and mentally drained until I started playing chess and got a brilliant move and felt revamped.,None,0,0,0,0,0
7/24/2025,11:30:00 AM,6:00:00 AM,4,7,2,90,20,0,20,1,56,65,1,6,180,Hypothesis: Better sleep ( quality and duration) leads to resilience to cheap and preference for cognitively challenging activities. Hypothesis: after work nap coupled with large dinner can lead to higher activation required for deep block.,NIC,3,0,0,0,0
7/25/2025,1:00:00 AM,6:00:00 AM,3,5,3,240,0,50,20,1,110,27,2,8,115,Caffeine despite sleep deprivation promotes high objective oriented state and easily entering flow state. Nicotine increases cognitive speed for conceptual passes.,"NIC, CAF",3,100,0,0,0
7/26/2025,2:00:00 AM,8:30:00 AM,3,3,0,290,30,0,80,1,150,90,0,7,79,Mid day naps that are in deep sleep cause prolonged sleep inertia. Decomposing complexity may help with inducing flow state. Nicotine great catalyst for jump starting a null/lull state.,"NIC, L-TY",6,0,0,500,0
7/27/2025,3:20:00 AM,12:30:00 AM,2,9,0,90,30,0,20,1,120,48,2,3,90,"Restorative sleep led to organic flow state, and Paradigm shift resulted in no second cognitive block.",None,0,0,0,0,0
