Timestamp,Sleep,Wake,Sleep Quality,Waking Energy,Work,Focused Learning,System Architecture,Skill practicing,Physical Endeavors,Scrolling,jorking,Passive media ,Active Media,Dominant Emotion ,Dominant Emotion,NIC,CAF,ALC,L-TY,WE,MISC
6/30/2025,2:00:00 AM,11:00:00 AM,4,9,5,120,20,60,0,33,1,60,180,0,6,3,0,0,0,0,"Pain in left knee from run on sunday biggest ""concern"" "
7/1/2025,12:00:00 AM,6:00:00 AM,6,10,5,0,40,10,90,30,2,53,15,4,8,0,100,0,0,0,Work up goal oriented when I got sleepy took shower but idled while nasal rinse. But then unexpected turn with regards to model for AC
7/2/2025,12:00:00 AM,6:00:00 AM,4,8,5,0,30,0,100,40,2,90,75,2,8,0,100,0,0,0,Had a slight discussion with superviser but i sensed the limit to which i could rebuttal without hard feelings. Smooth it over later by asking for advice and working hard.
7/3/2025,5:00:00 AM,7:45:00 AM,8,4,0,60,10,0,0,0,2,90,180,0,10,0,0,0,0,0,Had to catch a flight lost track of time reason for late night and early morning. 
7/4/2025,3:00:00 AM,11:30:00 AM,7,4,0,30,20,0,30,30,1,40,260,2,8,0,0,0,0,0,Had a headache 
7/5/2025,3:00:00 AM,11:30:00 AM,8,3,0,180,40,0,120,40,3,120,90,3,4,3,100,0,0,0,Helped dad implement app idea and got guitar 
7/6/2025,3:00:00 AM,10:30:00 AM,7,7,0,120,10,50,90,30,1,5,360,3,4,3,0,0,0,0,Went to church 
7/7/2025,3:00:00 AM,12:00:00 AM,7,3,0,0,0,10,0,60,1,60,60,3,6,0,0,0,0,0,asked for extension vacation 
7/8/2025,2:00:00 AM,11:00:00 AM,7,2,0,0,0,20,30,60,2,120,120,3,8,0,0,0,0,0,Went to the beach 
7/9/2025,6:00:00 AM,1:30:00 PM,8,2,0,40,20,30,0,30,5,240,45,-4,8,6,0,8,0,0," ""Gooned for 3 hours, man pulled up, ran home."""
7/10/2025,5:00:00 AM,1:30:00 PM,7,2,0,0,0,30,0,40,4,120,10,0,8,0,0,0,0,0,aftermath of the day was just chilling with parents guitar eating playing pool 
7/11/2025,6:00:00 AM,12:00:00 PM,8,3,0,30,15,45,0,60,4,180,84,3,6,0,0,9,0,0,Had a conversation about moral obligation becoming manipulation with dad. Danced with mom. Had Lucid dreams
7/12/2025,5:00:00 AM,10:30:00 AM,7,7,0,0,0,0,0,30,2,180,270,3,6,0,100,0,0,0,last day with family before returning to dorm
